Wákàtí B-DATE
Zanzibar B-LOC
ni O
ilé O
èyí O
- O
ò O
- O
jọ̀yìí O
orin O
tí O
ó O
ti O
inúu O
ìbàṣepapọ̀ O
àṣà O
àti O
àjọṣe O
ọlọ́dún O
gbọgbọrọ O
tí O
ó O
wà O
láàárín O
àwọn O
àdúgbò O
ẹ̀ka O
Swahili O
. O

“ O
Mo O
mọ O
àwọn O
ọ̀dọ́mọdé O
tí O
ó O
máa O
nífẹ̀ẹ́ O
sí O
kíkọ́ O
orin O
ṣùgbọ́n O
wọn O
kò O
leè O
san O
owó O
ìmẹ̀kọ O
tí O
ó O
jẹ́ O
owó O
iléèwé O
nítorí O
wípé O
wọn O
kúṣẹ̀ẹ́ O
wọn O
kò O
sì O
ní O
iṣẹ́ O
lọ́wọ́ O
. O
"""" O

Ọmọ O
bíbíi O
Zanzibar B-LOC
, O
tí O
ó O
jẹ́ O
akẹ́kọ̀ọ́ọ O
DCMA B-ORG
nígbà O
kan O
rí O
, O
tí O
ó O
jẹ́ O
olùkọ́ni O
ní O
iléèwé O
kan O
náà O
báyìí O
, O
Amina B-PER
Omar I-PER
Juma I-PER
tòun O
ti O
ìlú O
mọ̀ọ́ká O
ẹgbẹ́ O
akọrin O
rẹ̀ O
, O
tí O
ó O
ń O
“ O
fi O
àṣà O
ìró O
orin O
ìbílẹ̀ O
"""" O
taarab O
papọ̀ O
mọ́ O
ti O
ìgbàlódélonígbàńlò O
kọrin O
, O
ìyẹn O
“ O
Siti O
àti O
Ẹgbẹ́ O
“ O
, O
ṣẹ̀ṣẹ̀ O
padà O
wọ̀lú O
láti O
ìrìnàjò O
orin O
kíkọ O
kan O
ní O
orílẹ̀ O
- O

Híhàyín O
ni O
orin O
Siti O
àti O
Ẹgbẹ́ O
“ O
Nielewe O
"""" O
( O
“ O
Gbó O
mi O
yéké O
"""" O
) O
àti O
àwòrán O
orin O
náà O
, O
tí O
ó O
ṣe O
àfihàn O
- O
an O
àwòrán O
- O
an O
, O
tí O
ó O
sọ O
ìtàn O
obìnrin O
kan O
tí O
ó O
ń O
rí O
ìdojúkọ O
abẹ̀ O
- O
ilé O
, O
tí O
ó O
sì O
ń O
dárò O
ara O
rẹ̀ O
. O

Ìtàn O
náà O
jọ O
ti O
Omar B-PER
Juma I-PER
fúnra O
rẹ̀ O
: O

Iléèwé O
náà O
ti O
ṣe O
àyálò O
àti O
àmúpapọ̀ O
ọ̀kan O
- O
ò O
- O
jọ̀kan O
àṣà O
“ O
àwọn O
orílẹ̀ O
- O
èdè O
dhow O
, O
"""" O
tí O
ó O
wà O
ní O
ìtòsíi O
Òkun B-LOC
India I-LOC
àti O
Ọ̀gbùn B-LOC
- I-LOC
un I-LOC
Persia I-LOC
. O

Ata O
violin O
, O
Felician B-PER
Mussa I-PER
, O
ọmọ O
ogún B-DATE
ọdún I-DATE
, O
ti O
ń O
kọ́ O
ohun O
èlò O
ìkọrin O
olókùn O
tín O
- O
ín O
- O
rín O
náà O
fún O
ọdún B-DATE
mẹ́ta I-DATE
àtààbọ̀ I-DATE
; O
TaraJazz B-ORG
jẹ́ O
ọ̀kan O
nínú O
àwọn O
ẹgbẹ́ O
akọrin O
tí O
ó O
àwọn O
ènìyàn O
máa O
ń O
pè O
sí O
òde O
jù O
lọ O
ní O
àwọn O
erékùṣù O
náà O
, O
ni O
ó O
wà O
nínú O
àwòrán O
tí O
ayàwòrán O
tí O
Aline B-PER
Coquelle I-PER
yà O
: O

Lọ́dòọdún O
, O
iléèwé O
náà O
máa O
ń O
gbàlejò O
fún O
ètò O
tí O
a O
pè O
ní O
“ O
Ìkọlù O
Swahili O
, O
"""" O
tí O
ó O
mú O
àgbárijọpọ̀ọ O
àgbà O
akọrin O
láti O
Ilẹ̀ B-LOC
- I-LOC
Adúláwọ̀ I-LOC
, O
Ìlú B-LOC
Abẹ́ I-LOC
- I-LOC
àkóso I-LOC
Lárúbáwá I-LOC
, O
Ilẹ̀ B-LOC
Éróòpù I-LOC
àti O
Àríwá B-LOC
Amẹ́ríkà I-LOC
pẹ̀lú O
àwọn O
akẹ́kọ̀ọ́ O
DCMA B-ORG
láti O
ṣe O
orin O
láàárín O
ọ̀sẹ̀ B-DATE
kan I-DATE
. O

DCMA B-ORG
mọ O
rírì O
orin O
gẹ́gẹ́ O
bí O
ohun O
tí O
ó O
leè O
ró O
àwọn O
ènìyàn O
lágbára O
àti O
gẹ́gẹ́ O
bí O
ohun O
tí O
ó O
lè O
mú O
ìṣọ̀kan O
àti O
ìrẹ́pọ̀ O
bá O
àwọn O
ènìyàn O
láì O
wo O
ti O
àṣà O
— O
ó O
sì O
tún O
ń O
pèsè O
àǹfààní O
iṣẹ́ O
fún O
àwọn O
ọ̀dọ́ O
tí O
ó O
ní O
ẹ̀bùn O
àmọ́ O
tí O
ó O
ń O
tiraka O
láti O
jẹ O
. O

Fún O
àwọn O
akẹ́kọ̀ọ́ O
1 O
, O
800 O
tí O
ó O
ti O
gba O
ìdánilẹ́kọọ́ O
ní O
DCMA B-ORG
, O
èyí O
nìkan O
ni O
ibi O
ilé O
orin O
tí O
wọ́n O
mọ̀ O
, O
níbi O
tí O
wọ́n O
ti O
ń O
kọ́ O
ẹ̀kọ́ O
tí O
wọ́n O
sì O
ti O
ń O
ní O
àlékún O
ìmọ̀ O
nípa O
iṣẹ́ O
orin O
kíkọ O
àti O
bí O
a O
ṣe O
ń O
di O
òǹkọrin O
. O

Arìnrìn O
- O
àjò O
kan O
láti O
Spain B-LOC
, O
tó O
bẹ O
DCMA B-ORG
wò O
ní O
kò O
pẹ́ O
yìí O
, O
kọ O
sí O
oríi O
TripAdvisor B-ORG
: O
“ O
Ní O
tèmi O
, O
ìṣalábàápàdée O
àwọn O
akọrin O
ni O
ìgbà O
tí O
ó O
meet O
jù O
lọ O
fún O
mi O
ní O
erékùṣù O
yìí O
. O
"""" O

Bí O
ẹ̀ka O
ìrìn O
- O
àjò O
afẹ́ẹ O
Zanzibar B-LOC
ṣe O
ń O
gbèrò O
sí O
i O
, O
DCMA B-ORG
nígbàgbọ́ O
wípé O
orin O
ní O
ipa O
kan O
gbòógì O
ní O
í O
ṣe O
nínú O
àjọyọ̀ O
, O
ìpamọ́ O
àti O
ìgbélárugẹ O
tòun O
ìpolongo O
àṣà O
, O
àjogúnbá O
àti O
ìṣẹ̀lẹ̀ O
àtẹ̀yìnwáa O
Swahili O
. O

Zanzibar B-LOC
ju O
àwọn O
etíkun O
àti O
ilé O
ìtura O
olówó O
iyebíye O
rẹ̀ O
lọ O
— O
ó O
jẹ́ O
ibi O
tí O
ó O
kún O
fún O
àwọn O
ènìyàn O
ọlọ́pọlọ O
tí O
ó O
ní O
ẹ̀bùn O
ní O
poolo O
orí O
wọn O
látàrí O
àjọṣepọ̀ O
ọlọ́jọ́ O
pípẹ́ O
tí O
ó O
mú O
agbègbè O
náà O
dá O
yàtọ̀ O
gedegbe O
. O

Ní O
ọjọ́ B-DATE
20 I-DATE
oṣù I-DATE
Agẹmọ I-DATE
, O
àgbájọ O
àwọn O
ènìyànkéènìà O
gba O
ẹ̀mí O
àwọn O
àgbàlagbà O
mẹ́rin O
kan O
láì O
dá O
wọn O
lẹ́jọ́ O
ní O
agbègbèe O
Gumla B-LOC
ní O
Jharkhand B-LOC
, O
India B-LOC
lẹ́yìn O
tí O
a O
fi O
ẹ̀sùn O
- O
un O
àjẹ́ O
kàn O
wọ́n O
. O

Gẹ̀gẹ̀ O
bí O
àkọsílẹ̀ O
ọlọ́pàá O
tí O
Times B-ORG
of I-ORG
India I-ORG
tẹ̀jáde O
, O
ìṣọdẹ O
- O
àjẹ́ O
ní O
Jharkhand B-LOC
ti O
rán O
àwọn O
ènìyàn O
123 O
sọ́run O
àpàpàǹdodo O
ní O
àárín B-DATE
- I-DATE
in I-DATE
oṣù I-DATE
Èbìbí I-DATE
ọdún I-DATE
- I-DATE
un I-DATE
2016 I-DATE
sí I-DATE
oṣù I-DATE
Èbìbí I-DATE
ọdún I-DATE
- I-DATE
un I-DATE
2019 I-DATE
. O

FLAC B-ORG
ti O
ń O
ṣe O
àtọ́nàa O
ìṣòfin O
tí O
ó O
tako O
ìṣọdẹ O
- O
àjẹ́ O
ní O
Jharkhand B-LOC
. O

Àgbájọ O
àwọn O
ènìyànkéènìà O
kan O
dìgbò O
lù O
ú O
, O
wọ́n O
sì O
pa O
ọkọ O
àti O
ọmọ O
rẹ̀ O
ọkùnrin O
. O

Wọ́n O
sì O
tún O
gbàgbọ́ O
wípé O
bí O
ẹ̀jẹ̀ẹ O
ẹni O
tí O
a O
pè O
ní O
àjẹ́ O
bá O
kan O
ilẹ̀ O
ọ̀gẹ́rẹ́ O
, O
yóò O
pàdánù O
agbára O
ẹlẹyẹ O
rẹ̀ O
. O

Prem B-PER
Chand I-PER
sọ O
wípé O
ó O
kan O
apá O
kan O
nínú O
àwọn O
ọmọ O
ìlú O
: O

Pẹ̀lú O
òfin O
àwọn O
ìpínlẹ̀ O
India B-LOC
tí O
ó O
ka O
ìṣọdẹ O
- O
àjẹ́ O
sí O
ohun O
tí O
ó O
lòdì O
sófin O
, O
àwọn O
akópa O
ọ̀ràn O
wọ̀nyí O
rí O
i O
gẹ́gẹ́ O
bí O
ọ̀nà O
ìdáààbò O
- O
ara O
- O
ẹni O
. O

Bákan O
náà O
ni O
wọ́n O
ń O
wí O
àwáwí O
fún O
gbígba O
ohun O
ìní O
àwọn O
obìnrin O
, O
fi O
agbára O
gbẹ̀san O
tàbí O
fi O
ipá O
bá O
obìnrin O
lò O
pọ̀ O
. O

Gẹ́gẹ́ O
bí O
Prem B-PER
Chand I-PER
ṣe O
ti O
sọ O
: O

Ní O
àfikùn O
sí O
panchayat O
tí O
ìbó O
yàn O
, O
àwọn O
kan O
ńbẹ O
tí O
wọ́n O
pe O
ara O
wọn O
ní O
panchayat O
ipò O
- O
ìsàlẹ̀ O
láì O
ní O
àṣẹ O
kankan O
tí O
ó O
fún O
wọn O
lágbara O
níbikíbi O
ní O
orílẹ̀ O
- O
èdè O
. O

Àwọn O
ẹgbẹ́ O
yìí O
máa O
ń O
dájọ́ O
àti O
fi O
ìyà O
jẹ O
ènìyàn O
tí O
kò O
sì O
sí O
ẹni O
tí O
ó O
ká O
wọn O
lápá O
kò O
. O

Jharkhand B-LOC
ti O
ṣe O
àkọsílẹ̀ O
iye O
ẹṣẹ̀ O
àwọn O
ènìyán O
ṣẹ̀ O
tí O
ó O
pọ̀ O
jù O
lọ O
tí O
ó O
tan O
mọ́ O
ìṣọdẹ O
- O
àjẹ́ O
àmọ́ O
kì O
í O
ṣe O
ìpínlẹ̀ O
náà O
nìkan O
. O

Nígbà O
ìṣẹ̀lẹ̀ O
kan O
ní O
2014 B-DATE
, O
Debjani B-PER
Bora I-PER
, O
ẹlẹ́sẹ̀ O
ehoro O
ọmọ O
bíbíi O
orílẹ̀ O
- O
èdèe O
India B-LOC
ti O
fi O
ara O
kááṣá O
rí O
. O

Gẹ́gẹ́ O
bí O
ọ̀rọ̀ọ O
Debjani B-PER
, O
a O
f’ẹ̀sùn O
- O
un O
ìgbẹ̀mí O
ènìyàn O
púpọ̀ O
kàn O
án O
ní O
abúlée O
Cherekali B-LOC
tí O
ó O
wà O
ní O
kìlómità O
180 O
láti O
Guwahati B-LOC
, O
olú O
- O
ìlúu O
India B-LOC
ti O
apáa O
ìlà O
- O
oòrùn O
. O

Lára O
èyí O
ni O
, O
ọmọbìnrin O
ogójì B-DATE
ọdún I-DATE
kan O
Kanya B-PER
Devi I-PER
rí O
ìkọlù O
tí O
a O
sì O
lù O
ú O
pa O
lẹ́yìn O
tí O
mọ̀lẹ́bíi O
rẹ̀ O
fi O
ẹ̀sùn O
kàn O
án O
ní O
agbègbèe O
Ajmer B-LOC
. O

Àwọn O
Ẹni O
- O
tó O
- O
fara O
- O
kááṣá O
àti O
Ẹni O
- O
tórí O
- O
kó O
- O
yọ O

Àwọn O
ènìyàn O
ń O
f’ẹ̀sùn O
kan O
àwọn O
ẹlẹyẹ O
fún O
iṣẹ́ O
- O
ibi O
ọwọ́ọ O
wọn O
: O
ikú O
ènìyàn O
tàbí O
ẹranko O
, O
ọ̀dá O
òjò O
, O
àìso O
jìngbìnnì O
irúgbìn O
, O
àti O
bẹ́èbẹ́è O
lọ O
. O

Àwọn O
kan O
ń O
gbé O
tí O
wọ́n O
sì O
ń O
sọ O
ìtàn O
- O
an O
wọn O
tí O
wọ́n O
sì O
ń O
jà O
fún O
ẹ̀tọ́ọ O
wọn O
. O

Wọ́n O
fi O
ẹ̀sùn O
- O
un O
àjẹ́ O
kàn O
- O
án O
ní O
ọdún B-DATE
- I-DATE
un I-DATE
1995 I-DATE
. O

Láti O
ìgbà O
náà O
, O
ó O
ti O
yírapadà O
di O
ajìjàǹgbara O
olùtako O
ìfìyàjẹ O
àwọn O
obìnrin O
pẹ̀lú O
àtìléyìn O
Ilé O
- O
iṣẹ́ O
- O
tí O
- O
kìí O
- O
ṣe O
- O
tìjọba O
. O

Chutni B-PER
sọ O
bí O
àìsí O
àtìlẹ́yìn O
tó O
késejárí O
ṣe O
mú O
u O
nira O
láti O
jà O
tako O
ìwà O
pálapàla O
yìí O
. O

Dídá O
Ohùn O
Gbogboògbò O
Sí O
i O

Ní O
ọ̀rọ̀ọ O
Prem B-PER
Chand I-PER
: O

Bákan O
náà O
, O
àwọn O
onímọ̀ O
ní O
láti O
f’ọwọ́ O
sí O
i O
k’áwọn O
ènìyàn O
ó O
ba O
f’ohùn O
sí O
i O
. O

Vijay B-PER
Murty I-PER
, O
akọ̀ròyìn O
àti O
olùgbé O
Jharkhand B-LOC
ni O
ó O
gbọ̀rọ̀ O
sílẹ̀ O
lẹ́nu O
àwọn O
tí O
ọ̀rọ́ O
kàn O
. O

Ìtọ́jú O
àwọn O
erin O
aláìlóbìíi O
Myanmar B-LOC

Àtẹ̀jáde O
ìtúmọ̀ O
30 B-DATE
Ọ̀wẹwẹ̀ I-DATE
2019 I-DATE
9 I-DATE
: I-DATE
37 I-DATE
GMT I-DATE

Nígbà O
tí O
àwọn O
òṣìṣẹ́ O
alábòójútó O
igbó O
rí O
i O
nínú O
ijù O
tí O
ó O
sún O
mọ́ O
Etí B-LOC
- I-LOC
omi I-LOC
Irrawaddy I-LOC
, O
oṣù B-DATE
mẹ́ta I-DATE
ni O
Ayeyar O
Sein O
nígbà O
náà O
. O

Ẹsẹ̀ẹ O
rẹ̀ O
kan O
ti O
lu O
páḿpẹ́ O
àwọn O
ajérangbépa O
. O

Ọ̀dọ́ O
erin O
mìíràn O
, O
Ayeyar O
Maung O
náà O
rí O
nǹkan O
. O

Ó O
sì O
há O
sí O
àárín O
àwọn O
òkúta O
nínú O
ijù O
kan O
náà O
tí O
a O
ti O
rí O
Ayeyar O
Sein O
, O
àwọn O
ọ̀wọ́ọ O
rẹ̀ O
tó O
kù O
fi O
í O
sílẹ̀ O
lọ O
. O

Síbẹ̀ O
, O
àwọn O
alábòójútó O
ijù O
tú O
u O
sílẹ̀ O
, O
ó O
sì O
di O
aráa O
àgọ́ O
náà O
ní O
ọdún B-DATE
tó I-DATE
kọjá I-DATE
. O

Iyùn O
Tobago B-LOC
tí O
ó O
ti O
ń O
pàwọ̀dà O
fi O
hàn O
gbàgàdàgbagada O
pé O
kò O
sí O
ọ̀nà O
mìíràn O
ju O
kíkojú O
àyípadà O
ojú O
- O
ọjọ́ O

Iyùn O
- O
un O
abẹ́ O
òkúta O
òkun O
jẹ́ O
ohun O
tí O
a O
ò O
leè O
fọwọ́ O
rọ́ O
sẹ́yìn O
nínú O
àwọn O
àmúṣọrọ̀ O
tí O
ó O
ń O
mú O
ọrọ̀ O
Ajé O
Tobago B-LOC
àti O
àwọn O
àyíká O
erékùṣù O
náà O
gbòòrò O
. O

, O
gbogbo O
ojú O
ló O
ń O
wo O
erékùṣù O
náà O
. O

Bí O
ẹjá O
bá O
sì O
tán O
lómi O
, O
iṣẹ́ O
bọ́ O
lọ́wọ́ O
àwọn O
apẹja O
nìyẹn O
. O

Bí O
ìjì O
líle O
bá O
ń O
pọ̀ O
sí O
i O
látàrí O
ségesège O
ojú O
- O
ọjọ́ O
, O
òkúta O
iyùn O
- O
ún O
níṣẹ́ O
pàtàkì O
ní O
ṣíṣe O
láti O
fa O
agbára O
àwọn O
ìgbé O
omi O
àti O
ìdúró O
gẹ́gẹ́ O
bí O
alárinà O
láàárín O
òkun O
àti O
etí O
òkun O
— O
àmọ́ O
ìgbóná O
àgbáńlá O
ayé O
ń O
dí O
i O
lọ́wọ́ O
láti O
ṣiṣẹ́ẹ O
rẹ̀ O
. O

Ìwádìí O
ti O
fi O
ìdíi O
rẹ̀ O
múlẹ̀ O
wípé O
òkúta O
iyùn O
ní O
ń O
gba O
ìdá O
90 O
etídò O
Tobago B-LOC
sílẹ̀ O
- O
lọ́wọ́ O
ọ̀gbàrá O
tí O
ìgbé O
omi O
ń O
fà O
. O

Kí O
ni O
a O
lè O
ṣe O
láti O
dẹ́kun O
rẹ̀ O
? O

Ó O
yẹ O
kí O
òkúta O
iyùn O
ó O
di O
ohun O
tí O
yóò O
pamọ́ O
fún O
àwọn O
èrò O
, O
kí O
iṣẹ́ O
ìràpadà O
ó O
fẹsẹ̀ O
múlẹ̀ O
kí O
ọ̀wọ́ O
ẹja O
onílera O
àti O
omi O
tí O
ó O
dára O
tí O
yóò O
mú O
kí O
iyùn O
ó O
dàgbà O
ó O
padà O
. O

Ó O
sọ O
síwájú O
sí O
i O
: O

Ó O
ti O
di O
ṣíṣe O
fún O
ìjọba O
ti O
erékùṣù O
agbègbè O
kan O
náà O
láti O
kéde O
nípa O
ojúṣe O
àgbáyé O
ní O
ti O
ìgbógunti O
ìṣòro O
àyípadà O
ojú O
- O
ọjọ́ O
. O

Ohun O
gbogbo O
tí O
ó O
bá O
gbà O
láti O
gba O
òròmọdìẹ O
ojú O
- O
ọjọ́ O
lọ́wọ́ O
àyípadà O
àti O
ìdẹ́kun O
ìpàwọ̀dà O
iyùn O
ni O
kí O
á O
fi O
fún O
un O
, O
ó O
sọ O
wípé O
, O
pàápàá O
jù O
lọ O
“ O
iṣẹ́ O
ń O
bẹ O
"""" O
fún O
àwọn O
tí O
ó O
ń O
ṣe O
òṣèlú O
: O

Bí O
a O
ṣe O
ń O
wò O
ó O
, O
kò O
ní O
jẹ́ O
ohun O
tí O
ó O
rọrùn O
, O
àmọ́ O
ọ̀nà O
àbáyọ O
mìíràn O
ń O
bẹ O
. O

Ìṣèbéèrè O
fún O
ìwé O
ìrìnnà O
dà O
bíi O
ẹbọ O
fún O
àwọn O
òòsà O

Àtúntò O
àwòrán O
- O
an O
látọwọ́ọ O
Georgia B-PER
Popplewell I-PER
. O

Abala O
13 O
ti O
Ìkéde O
Káríayé O
Fún O
È̩Tó̩ O
O̩mo̩nìyàn O
wípé O
“ O
E̩nì O
kọ̀ọ̀kan O
ló O
ní O
ẹ̀tọ́ O
láti O
kúrò O
lórìlẹ̀ O
‐ O
èdè O
yòówù O
kó O
jẹ́ O
, O
tó O
fi O
mọ́ O
orílẹ̀ O
‐ O
èdè O
tirẹ̀ O
, O
kí O
ó O
sì O
tún O
padà O
sí O
orílẹ̀ O
‐ O
èdè O
tirẹ̀ O
nígbà O
tó O
bá O
wù O
ú O
. O
"""" O

Ìdùnnù O
ǹlá O
gba O
ọkàn O
- O
an O
mi O
nígbà O
tí O
mo O
gba O
ìròyìn O
tẹl O
mí O
lọ́wọ́ O
wípé O
n O
ó O
máa O
sọ̀rọ̀ O
àkórí O
ètò O
níbi O
Àpérò O
CC O
ọdún B-DATE
- I-DATE
un I-DATE
2019 I-DATE
ní O
Lisbon B-LOC
. O

ọjọ́ B-DATE
mọ́kànlá I-DATE
lẹ́yìn O
tí O
àpérò O
ti O
di O
àfìsẹ́yìn O
ti O
eégún O
aláré O
ń O
fiṣọ O
, O
mo O
gba O
iṣẹ́ O
- O
ìjẹ́ O
kí O
n O
wá O
gba O
ìwé O
- O
ẹ̀rí O
- O
ọmọìlú O
- O
fún O
- O
ìrìnnà O
mi O
ní O
VFS B-ORG
. O

Ìbànújẹ́ O
gba O
ọkàn O
mi O
poo O
látàríi O
àlàálẹ̀ O
Ilé B-ORG
- I-ORG
Ìfowópamọ́ I-ORG
Àgbà I-ORG
orílẹ̀ I-ORG
- I-ORG
èdè I-ORG
Nàìjíríà I-ORG
tí O
kò O
mú O
ìfowó O
ránṣẹ́ O
sí O
òkè O
òkun O
rọrùn O
; O
n O
kò O
le O
è O
dá O
owó O
ìrìnàjò O
ọ̀fẹ́ O
tí O
ó O
pọn O
dandan O
láti O
dá O
padà O
padà O
fún O
àwọn O
tí O
ó O
ni O
owó O
. O

Ó O
ṣòro O
fún O
ọmọ O
- O
adúláwọ̀ O
láti O
ṣe O
ìrìnàjò O
jáde O
kúrò O
ní O
Ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
— O
ṣùgbọ́n O
bẹ́ẹ̀ O
náà O
ni O
ó O
nira O
láti O
ṣe O
ìrìnàjò O
nílẹ̀ O
náà O
. O

Àwọn O
ọmọ O
onílùú O
àìmọye O
orílẹ̀ O
- O
èdè O
tí O
ó O
wà O
ní O
Àríwá O
àgbáńlá O
ayé O
lè O
ṣe O
ìrìnàjò O
lọ O
sí O
ọ̀pọ̀ O
orílẹ̀ O
- O
èdè O
ní O
ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
láì O
ní O
ìwé O
ìrìnnà O
, O
tàbí O
pẹ̀lú O
hìhámọ́ O
tí O
ò O
tó O
nǹkan O
, O
àmọ́ O
ọ̀pọ̀lọpọ̀ O
Ọmọ O
- O
adúláwọ̀ O
ni O
ó O
nílòo O
ìwé O
ìrìnnà O
ìwọ̀lú O
láti O
ṣe O
ìrìnàjò O
sí O
ìdajì O
àwọn O
orílẹ̀ O
- O

èdè O
tí O
ó O
kù O
. O

Aládàásí O
Ohùn B-ORG
Àgbáyé I-ORG
ọmọbíbí O
orílẹ̀ O
- O
èdè O
Nàìjíríà B-LOC
Rosemary B-PER
Àjàyí I-PER
ṣe O
àpèjúwe O
“ O
ìlàkàkà O
àwọn O
ọmọ O
- O
adúláwọ̀ O
tí O
ó O
ń O
ṣe O
ìrìnàjò O
ní O
àárín O
ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
"""" O
: O

Bí O
Rosemary B-PER
ti O
sọ O
, O
ìrìnàjò O
nínúu O
ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
máa O
ń O
gba O
ṣíṣèrìnàjò O
kúrò O
ní O
ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
kí O
aṣèrìnàjò O
ó O
tó O
le O
è O
dé O
ibi O
tí O
ó O
ń O
lọ O
ní O
àárín O
Ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
. O

Àwòrán O
láti O
ọwọ́ọ O
Noborder B-ORG
Network I-ORG
. O

Ọ̀gọ̀rọ̀ O
ló O
wá O
láti O
àwọn O
Ìlú B-LOC
Gúúsù I-LOC
Aṣálẹ̀ I-LOC
Sahara I-LOC
. O

Ní O
oṣù B-DATE
Ọ̀pẹ I-DATE
ọdún I-DATE
- I-DATE
un I-DATE
2018 I-DATE
, O
Ọlọ́pàá B-ORG
Brazil I-ORG
dóòlà O
ẹ̀mí O
èèyàn O
25 O
ọmọ O
- O
adúláwọ̀ O
tí O
ó O
wá O
láti O
Ìlú B-LOC
Gúúsù I-LOC
Aṣálẹ̀ I-LOC
Sahara I-LOC
“ O
tí O
ó O
ti O
wà O
lọ́rí O
omi O
òkun B-LOC
Atlantic I-LOC
fún O
oṣù B-DATE
kan I-DATE
gbáko O
"""" O
. O

Flahaux B-PER
àti O
De B-PER
Haas I-PER
jiyàn O
wípé O
kò O
rí O
bí O
ìròyín O
ti O
ṣe O
rò O
ó O
sí O
etígbọ̀ọ́ O
ọmọ O
aráyé O
pàápàá O
“ O
àwọn O
ilé O
iṣẹ́ O
àti O
olóṣòlú O
"""" O
àti O
àwọn O
ọlọ́gbọ́n O
náà O
. O

Àwọn O
ìròyìn O
abanilórúkọjẹ́ O
wọ̀nyí O
, O
ni O
ó O
ń O
fa O
sábàbí O
ìlànà O
- O
iṣẹ́ O
ìwé O
ìrìnnà O
: O
Ọ̀pọ̀lọpọ̀ O
orílẹ̀ O
- O
èdè O
ni O
ó O
nígbàgbọ́ O
wípé O
gbogbo O
arìnrìnàjò O
tí O
ó O
bá O
jẹ́ O
Ọmọ O
- O
adúláwọ̀ O
ni O
kò O
ní O
padà O
sí O
orílẹ̀ O
- O
èdèe O
rẹ̀ O
, O
àfi O
bí O
arìnrìnàjó O
bá O
ní O
ẹ̀rí O
tí O
ó O
yanrantí O
tó O
ni O
ó O
lè O
rí O
ìwé O
ìrìnnà O
ìwọ̀lú O
gbà O
. O

Kò O
rọrùn O
láti O
ṣí O
ojú O
àwọn O
tí O
kì O
í O
ṣe O
ọmọ O
- O
adúláwọ̀ O
lójú O
nípa O
orúkọ O
búburú O
tí O
wọn O
ti O
sọ O
orílẹ̀ O
- O
èdè O
tí O
ó O
wá O
láti O
Ilẹ̀ B-LOC
- I-LOC
adúláwọ̀ I-LOC
. O

Èyí O
kéyìí O
tí O
ò O
báà O
jẹ́ O
, O
òòsà O
ìwé O
ìrìnnà O
ń O
béèrè O
ẹbọ O
sí O
i O
, O
tí O
kọ̀ O
sì O
yé O
é O
gbẹbọ O
. O

Ẹ̀rọ O
Alátagbà O
ni O
a O
fi O
gbé O
àwọn O
ìròyìn O
irọ́ O
àti O
ọ̀rọ̀ O
ẹlẹ́yàmẹyà O
jáde O
lásìkò O
ìdìbò O
orílẹ̀ O
- O
èdèe O
Nàìjíríà B-LOC

Àtẹ̀jáde O
ìtúmọ̀ O
9 B-DATE
Ṣẹẹrẹ I-DATE
2020 I-DATE
10 I-DATE
: I-DATE
33 I-DATE
GMT I-DATE

O O
leè O
ká O
apá O
kejì O
ìròyìn O
náà O
níbí O
. O

Ìkórìíra O
Ẹ̀yà O
ní O
Nàìjíríà B-LOC

Kà O
sí O
i O
: O
Nàìjíríà B-LOC
: O
Gbígbógun O
ti O
àpọ̀jù O
ìkórìíra O
ẹ̀yà O
tẹ̀gbintẹ̀gbin O
— O
lójúkorojú O
àti O
lórí O
ayélujára O

Ó O
fẹ́ O
jọ O
àtúnwáyé O
ìṣẹ̀lẹ̀ O
2015 B-DATE
ṣùgbọ́n O
pẹ̀lú O
atakànàngbọ̀n O
mìíràn O
. O

Ohun O
gbogbo O
nípa O
ìṣèlú O
Nàìjíríà B-LOC
wọṣọ O
ẹlẹ́yàmẹ́lẹ́yá O
ní O
2017 B-DATE
, O
ọdún B-DATE
méjì I-DATE
kí O
ìbò O
ó O
tó O
bẹ̀rẹ̀ O
, O
tí O
ó O
sì O
fa O
àìgbàgbọ́ O
nínú O
ètò O
ìṣèlú O
. O

Láti O
ìhín O
lọ O
, O
ẹlẹ́yàmẹyà O
ti O
ń O
peléke O
sí O
i O
kí O
ó O
tó O
di O
àsìkò O
ìbò O
ààrẹ O
ọdún B-DATE
- I-DATE
un I-DATE
2019 I-DATE
. O

Facebook B-ORG
ló O
léwájú O
gẹ́gẹ́ O
bí O
i O
gbàgede O
ààyò O
ọ̀pọ̀ O
ọmọ O
orílẹ̀ O
- O
èdèe O
Nàìjíríà B-LOC
pẹ̀lú O
òǹlò O
ẹgbẹẹgbẹ̀rún O
22 O
, O
tí O
gbàgede O
àwòrán O
- O
àtohùn O
YouTube B-ORG
( O
